Cities,NO2,Latitude,Longitude
Phoenix,"96,126",33.448377,-112.07404
Scottsdale,"33,112",33.49417,-111.92605
Tucson,"44,495",32.221743,-110.92648
North Little Rock,"53,877",34.769536,-92.267094
Berkeley,"25,289",37.871593,-122.27275
Costa Mesa,"38,070",33.641216,-117.91882
Fresno,"39,381",36.746842,-119.77259
Long Beach,"60,807",33.77005,-118.19374
Los Angeles,"97,811",34.052234,-118.24368
San Diego,"95,696",32.715738,-117.16108
San Francisco,"43,607",37.774929,-122.41942
San Jose,"32,304",37.338208,-121.88633
San Pablo,"28,967",37.962146,-122.34553
Victorville,"54,151",34.536218,-117.29276
Denver,"39,245",39.739236,-104.99025
Welby,"48,357",39.836653,-104.95915
Cornwall,"1,796",41.843706,-73.329285
East Hartford,"12,051",41.763422,-72.612834
New Haven,"26,987",41.308274,-72.927884
Westport,"16,491",41.141472,73.357905
Washington,"48,877",38.907192,-77.036871
Valrico,"15,032",27.946261,-82.242032
Winter Park,"27,727",28.600001,-81.339235
Chicago,"53,056",41.878114,-87.629798
Cicero,"32,893",41.845588,-87.753945
East Saint Louis,"37,550",38.624514,-90.150646
Northbrook,"64,315",42.127527,-87.828955
Indianapolis,"17,713",39.768403,-86.158068
Davenport,"9,214",41.523644,-90.577637
Des Moines,"13,828",41.600545,-93.609106
Kansas City,"39,986",39.114053,-94.627464
Ashland,"21,938",38.478414,-82.637939
Henderson,"23,285",37.836154,-87.590013
Louisville,"17,797",38.252665,-85.758456
Baton Rouge,"41,872",30.458283,-91.14032
Kenner,"6,384",29.994092,-90.241743
Portland,"25,252",43.661471,-70.255326
Presque Isle,"7,315",46.681153,-68.015861
Beltsville,"19,072",39.034832,-76.907474
Essex,"31,410",51.734331,-76.474962
Boston,"44,704",42.360082,-71.05888
Detroit,"23,373",42.331427,-83.045754
Grand Rapids,"16,151",42.96336,-85.668086
Breckenridge Hills,"24,204",38.714496,-90.367338
St. Ann,"29,004",32.791879,-96.806665
St. Louis,"27,772",38.627003,-90.199404
Boulder City,"9,975",35.978222,-114.83451
Reno,"1,376",39.529633,-119.8138
Manchester,"13,585",53.480759,-2.2426305
Camden,"42,827",39.925946,-75.11962
Newark,"34,237",40.735657,-74.172367
Holtsville,"39,859",40.815376,-73.045108
New York,"111,361",40.712784,-74.005941
Charlotte,"47,016",35.227087,-80.843127
Winston-Salem,"9,334",36.099861,-80.244216
Athens,"7,912",37.983811,23.727539
Miami,"12,384",25.761681,-80.19179
Park Hill,"10,415",39.246434,-94.672393
Tulsa,"17,158",36.153982,-95.992775
Portland,"20,211",45.523062,-122.67648
Altoona,"17,423",40.518681,-78.394736
Beaver Falls,"22,133",40.518681,-78.394736
Bristol,"20,354",51.454513,-2.5879101
Freemansburg,"19,937",40.626488,-75.345735
Greensburg,"18,941",40.301458,-79.538929
Johnstown,"16,490",40.326741,-78.92197
Lancaster,"18,793",40.037875,-76.305514
New Castle,"21,003",41.003672,-80.347009
Philadelphia,"47,457",39.952584,-75.165222
York,"23,334",39.962598,-76.727745
Dallas,"39,000",32.776664,-96.796988
El Paso,"69,653",31.761878,-106.48502
Houston,"52,910",29.760427,-95.369803
San Antonio,"28,272",29.424122,-98.493628
Alexandria,"21,622",38.804836,-77.046921
McLean,"32,168",38.933868,-77.17726
Milwaukee,"19,834",43.038902,-87.906474
