Cities,NO2,Latitude,Longitude
New York,1224970,40.712784,-74.005941
Los Angeles,1075925,34.052234,-118.24368
San Diego,1052652,32.715738,-117.16108
San Francisco,392460,37.774929,-122.41942
Houston,476186,29.760427,-95.369803
Phoenix,1057384,33.448377,-112.07404
Tucson,489444,32.221743,-110.92648
Scottsdale,364234,33.49417,-111.92605
Philadelphia,474572,39.952584,-75.165222
Pittsburgh,276168,38.027976,-121.88468
San Antonio,56544,29.424122,-98.493628
